hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
4.24615,0.64209
4.37179,0.55732
4.49744,0.636202
4.62308,0.41287
4.74872,0.469282
4.87436,0.669897
5.,0.691031
0.1,0.320801
0.225641,0.323097
0.351282,0.311901
0.476923,0.315468
0.602564,0.326592
0.728205,0.309264
0.853846,0.315819
0.979487,0.31539
1.10513,0.324962
1.23077,0.341764
1.35641,0.337832
1.48205,0.323516
1.60769,0.331521
1.73333,0.336319
1.85897,0.321934
1.98462,0.494684
2.11026,0.378432
2.2359,0.400268
2.36154,0.371918
2.48718,0.450854
2.61282,0.349115
2.73846,0.541708
2.8641,0.451169
2.98974,0.551594
3.11538,0.472009
3.24103,0.444484
3.36667,0.575648
3.49231,0.558085
3.61795,0.414028
3.74359,0.637247
3.86923,0.657462
3.99487,0.673382
4.12051,0.741375
4.24615,0.561178
4.37179,0.446418
4.49744,0.584505
4.62308,0.626598
4.74872,0.603243
4.87436,0.503887
5.,0.772273
0.1,0.327184
0.225641,0.30689
0.351282,0.308914
0.476923,0.308676
0.602564,0.308365
0.728205,0.313501
0.853846,0.312043
0.979487,0.391734
1.10513,0.330432
1.23077,0.391954
1.35641,0.406962
1.48205,0.370965
1.60769,0.379823
1.73333,0.427295
1.85897,0.473293
1.98462,0.333652
2.11026,0.418102
2.2359,0.537974
2.36154,0.482765
2.48718,0.600371
2.61282,0.457161
2.73846,0.500076
2.8641,0.620584
2.98974,0.556808
3.11538,0.457131
3.24103,0.590197
3.36667,0.401684
3.49231,0.385966
3.61795,0.466343
3.74359,0.489456
3.86923,0.749942
3.99487,0.355464
4.12051,0.644831
4.24615,0.44977
4.37179,0.643983
4.49744,0.521883
4.62308,0.550493
4.74872,0.81315
4.87436,0.609563
5.,0.64146
0.1,0.316598
0.225641,0.304604
0.351282,0.306843
0.476923,0.309892
0.602564,0.311791
0.728205,0.333324
0.853846,0.316362
0.979487,0.398867
1.10513,0.334666
1.23077,0.320693
1.35641,0.429852
1.48205,0.335088
1.60769,0.475446
1.73333,0.394732
1.85897,0.514481
1.98462,0.427665
2.11026,0.373553
2.2359,0.539048
2.36154,0.422747
2.48718,0.565537
2.61282,0.474975
2.73846,0.379093
2.8641,0.557301
2.98974,0.497679
3.11538,0.47801
3.24103,0.607569
3.36667,0.605762
3.49231,0.419147
3.61795,0.465678
3.74359,0.653177
3.86923,0.575336
3.99487,0.467863
4.12051,0.756512
4.24615,0.423358
4.37179,0.683998
4.49744,0.612712
4.62308,0.474182
4.74872,0.488914
4.87436,0.448859
5.,0.363928
0.1,0.3274
